Day,Total,Alcohol-related,Speed-related
Sunday,"4,462",459,555
Monday,"6,514",239,664
Tuesday,"7,366",225,694
Wednesday,"7,501",239,697
Thursday,"7,462",277,740
Friday,"8,205",389,813
Saturday,"6,312",583,784
