Day,Total,Alcohol-related,Speed-related
Sunday,"5,109",551,731
Monday,"7,205",246,645
Tuesday,"7,700",228,700
Wednesday,"7,714",285,678
Thursday,"7,447",298,666
Friday,"8,691",419,842
Saturday,"6,677",613,858
