Day,Total,Alcohol-related,Speed-related
Sunday,"4,770",421,630
Monday,"7,267",204,708
Tuesday,"7,510",189,762
Wednesday,"7,685",219,727
Thursday,"7,668",290,788
Friday,"8,189",332,868
Saturday,"6,480",523,816
