Day,Total,Alcohol-related,Speed-related
Sunday,"4,990",527,659
Monday,"6,800",232,634
Tuesday,"7,402",232,654
Wednesday,"7,612",285,723
Thursday,"7,523",263,707
Friday,"8,689",347,867
Saturday,"6,414",528,718
